AGAF|Afutara Airport|Afutara
UDYE|Erebuni Airport|Yerevan
UDYZ|Zvartnots International Airport|Zvartnots (near Yerevan)
UGGT|Telavi Aerodrome|Telavi
UGKO|Kopitnari Airport|Kutaisi
UGMS|Queen Tamar Airport|Mestia
UGSA|Natakhtari Airfield|Natakhtari
UGSB|Batumi Airport|Batumi
UGSS|Sukhumi Dranda Airport|Sukhumi, Abkhazia
UGTB|Tbilisi International Airport|Tbilisi
UKBB|Boryspil International Airport|Boryspil (near Kiev)
UKBC|Bila Tserkva Airfield|Bila Tserkva
UKBD|Kiev-South Airfield|(near Bila Tserkva)
UKBF|Konotop Air Base|Konotop
UKBM|Myrhorod Airport|Myrhorod
UKCC|Donetsk Airport|Donetsk
UKCK|Kramatorsk Airport|Kramatorsk
UKCM|Mariupol Airport|Mariupol
UKCS|Sieverodonetsk Airport|Sieverodonetsk
UKCW|Luhansk International Airport|Luhansk
UKDB|Berdyansk Airport|Berdyansk
UKDD|Dnipropetrovsk International Airport|Dnipropetrovsk
UKDE|Zaporizhia International Airport|Zaporizhia
UKDM|Melitopol Air Base|Melitopol
UKDP|Pidhorodne Airport|Pidhorodne
UKDR|Kryvyi Rih International Airport|Kryvyi Rih
UKFB|"Belbek" Sevastopol International Airport|Sevastopol
UKFF|Simferopol International Airport|Simferopol
UKFI|Saki Air Base|Saky
UKFK|Kerch Airport|Kerch
UKFV|Yevpatoria Airport|Yevpatoria
UKFW|Zavodske Airfield|Simferopol
UKFY|Dzhankoy Airport|Dzhankoy
UKHH|Kharkiv International Airport|Kharkiv
UKHK|Kremenchuk Airport|Kremenchuk
UKHP|Poltava Airport|Poltava
UKHS|Sumy Airport|Sumy
UKKA|Ukraviatrans|Kiev
UKKE|Cherkasy Airport|Cherkasy
UKKG|Kirovohrad Airport|Kropyvnytskyi
UKKH|Chepelevka Airport|Uzyn
UKKJ|Chaika Airfield|Kiev
UKKK|Kiev International Airport|Kiev
UKKL|Chernihiv Shestovitsa Airport|Chernihiv
UKKM|Gostomel Airport|Gostomel
UKKO|Ozerne Air Base|Zhytomyr
UKKT|Sviatoshyn Airfield|Kiev
UKKV|Zhytomyr Airport|Zhytomyr
UKLB|Brody Air Base|Brody
UKLC|Lutsk Airport|Lutsk
UKLF|Gorodok Northwest Air Base|Horodok
UKLH|Khmelnytskyi Airport|Khmelnytskyi
UKLI|Ivano-Frankivsk Airport|Ivano-Frankivsk
UKLL|Lviv International Airport|Lviv
UKLN|Chernivtsi Airport|Chernivtsi
UKLR|Rivne Airport|Rivne
UKLS|Starokostiantyniv (air base)|Starokostiantyniv
UKLT|Ternopil Airport|Ternopil
UKLU|Uzhhorod Airport|Uzhhorod
UKOH|Chernobaevka Airport|Kherson
UKOI|Izmail International Airport|Izmail
UKOM|Lymanske Airport|Lymanske
UKON|Mykolaiv Airport|Mykolaiv
UKOO|Odessa International Airport|Odessa
UKRN|Nizhyn Air Base|Nizhyn
UKWW|Vinnytsia Airport|Vinnytsia
UMBB|Brest Airport|Brest
UMGG|Gomel Airport|Gomel
UMII|Vostochny Airport|Vitebsk
UMMG|Hrodna Airport|Obukhovo
UMMM|Minsk-1|Minsk
UMMS|Minsk International Airport|Minsk
UMOO|Mogilev Airport|Mogilev
UTDD|Dushanbe Airport|Dushanbe, Tajikistan
UTDL|Khujand Airport|Khujand, Tajikistan
UTDK|Kulob Airport|Kulyab, Tajikistan
UTDT|Qurghonteppa International Airport|Kurgan Tyube, Tajikistan
UTOD|Khorog Airport|Khorog, Tajikistan
UTAA|Ashgabat Airport (Ashkhabad Airport)|Ashgabat (Ashkhabad)
UTAK|Turkmenbashi Airport|Turkmenbashi
UTAM|Mary Airport|Mary
UTAT|Dashoguz Airport|Dashoguz
UTAV|Turkmenabat Airport|Turkmenabat (Chardzhou)
UTFA|Andizhan Airport|Andizhan
UTFF|Fergana Airport|Fergana
UTFN|Namangan Airport|Namangan
UTNN|Nukus Airport|Nukus
UTNT|Turtkul Airport|Turtkul
UTNU|Urgench Airport|Urgench
UTSA|Navoi International Airport|Navoi
UTSB|Bukhara Airport|Bukhara
UTSK|Karshi Airport|Qarshi/Karshi
UTSL|Karshi-Khanabad|near Qarshi/Karshi
UTSN|Zarafshan Airport|Zarafshan
UTSS|Samarkand Airport|Samarkand
UTST|Termez Airport|Termez
UTTT|Tashkent Airport|Tashkent
VAAH|Sardar Vallabhbhai Patel International Airport (Ahmadabad Airport)|Ahmedabad
VAAK|Akola Airport|Akola
VAAU|Aurangabad Airport|Aurangabad
VABB|Chatrapati Shivaji International Airport|Mumbai (Bombay)
VABJ|Bhuj Airport|Bhuj, Gujarat, India
VABO|Vadodara Airport / Vadodara Air Force Base|Vadodara (Baroda)
VABP|Raja Bhoj Airport (Bairagarh Airport)|Bhopal
VABV|Bhavnagar Airport|Bhavnagar
VADN|Daman Airport|Daman
VAGN|Guna Airport|Guna, India
VAID|Devi Ahilyabai Holkar Airport|Indore
VAJB|Jabalpur Airport|Jabalpur
VAJJ|Juhu Airport|Mumbai (Bombay)
VAJL|Jalgaon Airport|Jalgaon
VAJM|Jamnagar Airport / Jamnagar Air Force Base|Jamnagar
VAKD|Khandwa Airport|Khandwa
VAKE|Kandla Airport (Gandhidham Airport)|Gandhidham / Kandla
VAKP|Kolhapur Airport|Kolhapur
VAKS|Junagadh Airport (Keshod Airport)|Keshod
VALT|Latur Airport|Latur
VAND|Nanded Airport|Nanded
VANP|Dr. Babasaheb Ambedkar International Airport / Sonegaon Air Force Base|Nagpur
VANR|Gandhinagar Airport|Nashik
VAOZ|Ozar Airport|Nashik
VAPO|Pune Airport / Lohegaon Air Force Base|Pune (Poona)
VAPR|Porbandar Airport|Porbandar
VARG|Ratnagiri Airport|Ratnagiri
VARK|Rajkot Airport|Rajkot
VASL|Solapur Airport|Sholapur (Solapur)
VASU|Surat Airport|Surat
VAUD|Udaipur Airport|Udaipur
VEAB|Bamrauli Air Force Base|Allahabad
VEAN|Along Airport|Along
VEAT|Agartala Airport|Agartala
VEAZ|Turial Air Force Base|Aizawl
VEBA|Behala Airport|Behala - Kolkata (Calcutta)
VEBD|Bagdogra Airport / Bagdogra Air Force Base|Bagdogra / Siliguri
VEBG|Balurghat Airport|Balurghat
VEBI|Shillong Airport (Barapani Airport)|Shillong
VEBN|Varanasi Airport|Varanasi
VEBS|Biju Patnaik Airport|Bhubaneswar
VEBU|Bilaspur Airport|Bilaspur
VECA|Chabua Air Force Base|Dibrugarh
VECC|Netaji Subhash Chandra Bose International Airport|Kolkata (Calcutta)
VECK|Chakulia Airport|Chakulia
VECO|Cooch Behar Airport|Cooch Behar
VEDB|Dhanbad Airport|Dhanbad
VEDZ|Daporijo Airport|Daporijo
VEGK|Gorakhpur Air Force Base|Gorakhpur
VEGT|Lokpriya Gopinath Bordoloi International Airport (Guwahati Int'l) / Guwahati Air Force Base|Guwahati
VEGY|Gaya Airport|Gaya
VEHK|Hirakud Airstrip|Hirakud
VEIM|Imphal Airport (Tulihal Airport)|Imphal
VEJH|Jharsuguda Airport|Jharsuguda
VEJP|Jeypore Airport|Jeypore
VEJS|Sonari Airport|Jamshedpur
VEJT|Jorhat Air Force Base|Jorhat
VEKM|Kamalpur Airport|Kamalpur
VEKO|Khajuraho Airport|Khajuraho
VEKR|Kailashahar Airport|Kailashahar
VEKU|Silchar Airport (Kumbhirgram Air Force Base)|Silchar
VEKW|Khowai Airport|Khowai
VELP|Lengpui Airport|Aizawl
VELR|Lilabari Airport|North Lakhimpur
VEMH|Malda Airport|Malda
VEMN|Dibrugarh Airport (Mohanbari Airport)|Dibrugarh
VEMR|Dimapur Airport (Dimapur Air Force Base)|Dimapur
VEMZ|Muzzafarpur Airport|Muzzafarpur
VEPG|Pasighat Airport|Pasighat (Passighat)
VEPH|Panagarh Airport|Panagarh
VEPT|Lok Nayak Jaya Prakash Narayan Airport (Patna Airport)|Patna
VEPU|Purnea Airport|Purnia (Purnea)
VERC|Birsa Munda Airport (Ranchi Airport)|Ranchi
VERK|Rourkela Airport|Rourkela
VERL|Raxaul Airport|Raxaul
VERP|Raipur Airport|Raipur
VERU|Rupsi Airport|Rupsi
VEST|Satna Airport|Satna
VETJ|Tezu Airport|Tezu
VETZ|Tezpur Airport (Tezpur Air Force Base)|Tezpur
VEZO|Ziro Airport|Ziro, India
VIAG|Agra Airport / Agra Air Force Station|Agra
VIAM|Ambala Air Force Base|Ambala
VIAR|Sri Guru Ram Dass Jee International Airport|Amritsar
VIAX|Adampur Air Force Base|Adampur / Jullundur
VIBK|Nal Air Force Base|Bikaner
VIBL|Bakshi Ka Talab Air Force Base|Bareilly
VIBR|Bhuntar Airport|Kullu / Manali
VIBT|Bhisiana Air Force Base|Bhatinda
VICG|Chandigarh Airport (Chandigarh Air Force Base)|Chandigarh
VICX|Chakehri Air Force Station|Kanpur
VIDD|Safdarjung Airport (Safdarjung Air Force Station)|New Delhi
VIDN|Jolly Grant Airport|Dehradun
VIDP|Indira Gandhi International Airport|New Delhi
VIGG|Gaggal Airport (Kangra Airport)|Kangra / Dharamsala
VIDX|Hindon Air Force Base|Ghaziabad
VIGR|Gwalior Airport / Maharajpur Air Force Base|Gwalior
VIHR|Hissar Airport|Hissar
VIJN|Jhansi Airport|Jhansi
VIJO|Jodhpur Airport / Jodhpur Air Force Base|Jodhpur
VIJP|Jaipur Airport (Sanganer Airport)|Jaipur
VIJR|Jaisalmer Airport|Jaisalmer (Jaiselmer)
VIJU|Jammu Airport|Jammu
VIKA|Kanpur Airport (Chakeri Airport)|Kanpur
VIKO|Kota Airport|Kota
VILD|Sahnewal Airport|Ludhiana
VILH|Leh Kushok Bakula Rimpochee Airport|Leh
VILK|Amausi Airport|Lucknow
VIPK|Pathankot Airport|Pathankot
VIPT|Pant Nagar Airport (Pantnagar Airport)|Pant Nagar / Nainital
VISM|Shimla Airport|Shimla
VISR|Srinagar International Airport / Srinagar Air Force Base|Srinagar
VISX|Sirsa Air Force base|Sirsa
VIUT|Uttarlai Airport|Uttarlai
VIUX|Udhampur Air Force Base|Udhampur
VOAR|INS Rajali Arakkonam Air Base|Arakkonam
VOBI|Bellary Airport|Bellary
VOBL|Bengaluru International Airport|Bengaluru
VOBG|HAL Airport|Bangalore
VOBM|Belgaum Airport|Belgaum
VOBR|Bidar Air Force Station|Bidar
VOBZ|Vijayawada Airport|Vijayawada
VOCB|Coimbatore International Airport|Coimbatore
VOCC|INS Garuda|Kochi
VOCI|Cochin International Airport (Kochi Int'l)|Kochi / Nedumbassery
VOCL|Calicut International Airport (Karipur Airport)|Kozhikode (Calicut)
VOCP|Kadapa Airport|Cuddapah
VOCX|Car Nicobar Air Force Base|Car Nicobar
VODG|Dundigul Air Force Academy|Hyderabad
VODK|Donakonda Airport|Donakonda
VOGB|Gulbarga Airport|Gulbarga
VOGO|Goa International Airport (Dabolim Airport) / INS Hansa|Dabolim
VOHB|Hubli Airport / Hubli Air Force Base|Hubli
VOHK|Hakimpet Air Force Station|Secunderabad
VOHY|Begumpet Airport|Hyderabad
VOHS|Rajiv Gandhi International Airport|Hyderabad, India
VOKN|Kannur International Airport - Kannur, India|
VOMD|Madurai International Airport|Madurai
VOML|Mangalore International Airport|Mangalore
VOMM|Chennai International Airport|Chennai / Madras
VOMY|Mysore Airport|Mysore
VONV|Neyveli Airport|Neyveli
VOPB|Vir Savarkar Airport (Port Blair Airport)|Port Blair
VOPC|Puducherry Airport|Pondicherry, Puducherry
VOPN|Sri Sathya Sai Airport|Puttaparthi
VORG|Ramagundam airport|Ramagundam
VORY|Rajahmundry Airport|Rajahmundry
VOSM|Salem Airport|Salem
VOSX|Sulur Air Force Base|Coimbatore
VOTJ|Tanjore Air Force Base|Tanjore (Thanjavur)
VOTP|Tirupati Airport|Tirupati (Tirupathi)
VOTR|Tiruchirappalli International Airport|Tiruchirapalli (Trichy)
VOTV|Thiruvananthapuram International Airport (formerly Trivandrum Int'l)|Thiruvananthapuram
VOTX|Tambaram Air Force Station|Chennai
VOVZ|Visakhapatnam Airport|Visakhapatnam (Visakhapatnam)
VOWA|Warangal Airport|Warangal (Warrangal)
VOYK|Yelahanka Air Force Station|Yelahanka
VCBI|Bandaranaike International Airport|Colombo
VCCA|Anuradhapura Airport|Anuradhapura
VCCB|Batticaloa Airport|Batticaloa
VCCC|Ratmalana Airport|Colombo
VCCG|Ampara Airport|Ampara
VCCJ|Jaffna Airport|Jaffna
VCCK|Koggala Airport|Galle
VCCN|Katukurunda Airport|Kalutara
VCCT|China Bay Airport|Trincomalee
VCCV|Vavuniya Airport|Vavuniya
VCCW|Weerawila Airport|Weerawila
VCRI|Mattala Rajapaksa International Airport|Hambantota
VDBG|Battambang Airport|Battambang
VDKC|Kampong Cham Airport|Kampong Cham
VDKH|Kampong Chhnang Airport|Kompong Chhnang
VDKK|Koh Kong Airport|Koh Kong
VDKT|Kratie Airport|Kratie
VDMK|Mondulkiri Airport|Mondulkiri
VDPP|Phnom Penh International Airport (Pochentong International)|Phnom Penh
VDRK|Ratanankiri Airport|Ratanankiri
VDSR|Angkor International Airport|Siem Reap
VDST|Stung Treng Airport|Stung Treng
VDSV|Sihanoukville International Airport|Sihanoukville
VGBG ()|Bogra Airport|Bogra
VGBR|Barisal Airport|Barisal
VGCB|Cox's Bazar Airport|Cox's Bazar
VGCM|Comilla Airport|Comilla
VGEG|Shah Amanat International Airport (M.A. Hannan Int'l)|Chittagong
VGHS|Hazrat Shahjalal International Airport|Dhaka
VGIS|Ishurdi Airport|Ishurdi
VGJR|Jessore Airport|Jessore
VGRJ|Shah Makhdum Airport|Rajshahi
VGSD|Saidpur Airport|Saidpur
VGSG|Thakurgaon Airport|Thakurgaon
VGSH|Shamshernagar Airport|Shamshernagar
VGSY|Osmani International Airport|Sylhet
VGTJ|Tejgaon Airport|Dhaka
VHHH|Hong Kong International Airport|Chek Lap Kok
VHSK|Shek Kong Airfield|Shek Kong (former RAF Shek Kong)
VHSS|Shun Tak Heliport|Sheung Wan
VLAO|Vientiane Airport|Vientiane
VLAP|Attopeu Airport|Attopeu
VLHS|Ban Huoeisay Airport (Ban Houei Sai/Ban Houay Xay)|Ban Hat Tai
VLKG|Khong Island Airport|Khong Island
VLLB|Luang Prabang International Airport|Luang Prabang
VLLN|Luang Namtha Airport|Luang Namtha
VLOS|Oudomsay Airport|Muang Xay
VLPS|Pakse Airport|Pakse
VLSB|Sayaboury Airport|Sayaboury
VLSK|Savannakhet Airport|Savannakhet
VLSN|Sam Neua Airport|Sam Neua
VLSV|Saravane Airport|Saravane
VLTK|Thakhek Airport|Thakhek
VLVT|Wattay International Airport|Vientiane (Viangchan)
VLXK|Xieng Khouang Airport|Xieng Khouang
VMMC|Macau International Airport|Taipa
VNBG|Bajhang Airport|Bajhang
VNBJ|Bhojpur Airport|Bhojpur
VNBL|Baglung Airport|Baglung
VNBP|Bharatpur Airport|Bharatpur
VNBR|Bajura Airport|Bajura
VNBT|Baitadi Airport|Baitadi
VNBW|Bhairahawa Airport|Bhairahawa
VNDP|Dolpa Airport|Dolpa
VNJL|Jumla Airport|Jumla
VNKT|Tribhuvan International Airport|Kathmandu
VNLD|Lamidanda Airport|Lamidanda
VNLK|Lukla Airport|Lukla
VNLT|Langtang Airport|Langtang
VNMA|Manang Airport|Manang
VNMG|Meghauli Airport|Meghauli
VNMN|Mahendranagar Airport|Mahendranagar
VNNG|Nepalgunj Airport|Nepalgunj
VNPK|Pokhara Airport|Pokhara
VNPL|Phaplu Airport|Phaplu
VNRB|Rajbiraj Airport|Rajbiraj
VNRC|Ramechhap Airport|Ramechhap
VNRK|Rukumkot Airport|Rukumkot
VNRP|Rolpa Airport|Rolpa
VNRT|Rumjatar Airport|Rumjatar
VNSB|Syangboche Airport|Syangboche
VNSK|Surkhet Airport|Surkhet
VNSR|Sanfebagar Airport|Sanfebagar
VNST|Simikot Airport|Simikot
VNTH|Thamkharka Airport|Thamkharka
VNTJ|Taplejung Airport|Taplejung
VNTP|Tikapur Airport|Tikapur
VNTR|Tumlingtar Airport|Tumlingtar
VNVT|Biratnagar Airport|Biratnagar
VQBT|Bathpalathang Airport|Jakar, Bumthang
VQGP|Gelephu Airport|Gelephu, Sarpang
VQPR|Paro Airport|Paro
VQTY|Yongphulla Airport|Trashigang
VRMG|Gan International Airport|Gan Island, Seenu Atoll
VRMH|Hanimaadhoo Airport|Hanimaadhoo Island, Haa Dhaalu Atoll
VRMK|Kadhdhoo Airport|Kadhdhoo Island, Laamu Atoll
VRMM|Ibrahim Nasir International Airport|Hulhulé Island, North Malé Atoll
VRMT|Kaadedhdhoo Airport|Kaadedhdhoo Island, Gaafu Dhaalu Atoll
VRMR|Fuvahmulah Airport|Fuvahmulah Island, Gnaviyani Atoll
VRMO|Kooddoo Airport|Kooddoo Island, Gaaf Alif Atoll
VREI|Ifuru Airport|Ifuru Island, Raa Atoll
VRMD|Dharavandhoo Airport|Dharavandhoo Island, Baa Atoll
VRMV|Maamigili Airport|Maamigili Island, Alif Dhaalu Atoll
VRNT|Thimarafushi Airport|Thimarafushi Island, Thaa Atoll
VTBC|Chanthaburi Airstrip (Royal Thai Navy)|Chantaburi (Chanthaburi)
VTBD|Don Muang International Airport (Old Bangkok International Airport)|Bangkok
VTBF|Pattaya Airpark|Pattaya
VTBG|Kanchanaburi Airport|Kanchanaburi
VTBL|Khok Kathiam Air Force Base|Lopburi
VTBN|Pranburi Airport|Prachuap Khiri Khan
VTBO|Trat Airport|Trat
VTBP|Prachuap Khiri Khan Military Airport|Prachuap Khiri Khan
VTBS|Suvarnabhumi Airport (New Bangkok International Airport)|Samut Prakan (near Bangkok)
VTBT|Bang Phra Airport|Chonburi (Chon Buri)
VTBU|U-Tapao International Airport (Utapao/U-Taphao)|Rayong (near Pattaya)
VTBW|Watthana Nakhon Airport|Watthana Nakhon / Prachin Buri
VTCC|Chiang Mai International Airport|Chiang Mai
VTCH|Mae Hong Son Airport|Mae Hong Son
VTCL|Lampang Airport|Lampang
VTCM|Ban Thi Airport (Lanna Airfield)|Chiang Mai
VTCN|Nan Airport|Nan
VTCO|Lamphun Airport|Lamphun
VTCP|Phrae Airport|Phrae
VTCR|Old Chiang Rai Airport|Chiang Rai
VTCS|Mae Sariang Airport|Mae Sariang
VTCT|Mae Fah Luang International Airport|Chiang Rai
VTPB|Phetchabun Airport|Phetchabun
VTPH|Hua Hin Airport|Hua Hin / Prachuap Khiri Khan
VTPI|Takhli Air Force Base|Nakhon Sawan
VTPL|Lom Sak Airport|Lom Sak / Phetchabun
VTPM|Mae Sot Airport|Mae Sot
VTPO|Sukhothai Airport|Sukhothai
VTPP|Phitsanulok Airport|Phitsanulok
VTPR|Photharam Airport (Potaram Ratchaburi Airport)|Photharam
VTPT|Tak Airport|Tak
VTPU|Uttaradit Airport|Uttaradit
VTPY|Phumipol Dam Airport|Phumipol Dam / Khuan Phumiphon
VTSB|Surat Thani Airport|Surat Thani
VTSC|Narathiwat Airport|Narathiwat
VTSE|Chumphon Airport|Chumphon
VTSF|Nakhon Si Thammarat Airport|Nakhon Si Thammarat
VTSG|Krabi Airport|Krabi
VTSH|Songkhla Airport|Songkhla
VTSK|Pattani Airport|Pattani
VTSM|Samui Airport|Ko Samui (Ko Samui)
VTSN|Cha Ian Airport (Cha Eian Airport)|Nakhon Si Thammarat
VTSP|Phuket International Airport|Phuket
VTSR|Ranong Airport|Ranong
VTSS|Hat Yai International Airport|Hat Yai / Songkhla
VTST|Trang Airport|Trang
VTUD|Udon Thani International Airport|Udon Thani
VTUI|Sakon Nakhon Airport|Sakon Nakhon
VTUJ|Surin Airport|Surin
VTUK|Khon Kaen Airport|Khon Kaen
VTUL|Loei Airport|Loei
VTUN|Khorat Air Force Base|Nakhon Ratchasima (Khorat)
VTUO|Buriram Airport|Buriram (Buri Ram)
VTUQ|Nakhon Ratchasima Airport|Nakhon Ratchasima (Khorat)
VTUR|Rob Muang Airport|Roi Et (Roiet)
VTUU|Ubon Ratchathani Airport|Ubon Ratchathani
VTUV|Roi Et Airport (Roiet Airport)|Roi Et (Roiet)
VTUW|Nakhon Phanom Airport|Nakhon Phanom
VVBM|Buon Ma Thuot Airport|Buôn Ma Thuột
VVCI|Cat Bi International Airport|Hai Phong
VVCL|Cam Ly Airport|Da Lat
VVCM|Cà Mau Airport|Cà Mau
VVCR|Cam Ranh International Airport|Nha Trang
VVCS|Con Dao Airport|Côn Đảo
VVCT|Can Tho International Airport|Cần Thơ
VVDB|Dien Bien Phu Airport|Điện Biên Phủ
VVDH|Dong Hoi Airport|Đồng Hới
VVDL|Lien Khuong Airport|Da Lat
VVDN|Da Nang International Airport|Da Nang
VVGL|Gia Lam Airport|Hanoi
VVKP|Kép Air Base|Bac Giang
VVKT|Kontum Airport|Kontum
VVNB|Noi Bai International Airport|Hanoi
VVNS|Nà Sản Airport|Sơn La
VVPB|Phu Bai International Airport|Huế
VVPC|Phu Cat Airport|Qui Nhơn
VVPK|Pleiku Airport|Pleiku
VVPQ|Phu Quoc Internaltional Airport|Phú Quốc
VVRG|Rach Gia Airport|Rạch Giá
VVTH|Dong Tac Airport|Tuy Hòa
VVTS|Tan Son Nhat International Airport|Ho Chi Minh City
VVPR|Phan Rang Air Base|Phan Rang
VVTX|Tho Xuan Airport|Thanh Hóa
VVVH|Vinh Airport|Vinh
VVVT|Vung Tau Airport|Vũng Tàu
VYAS|Anisakan Airport|Anisakan
VYBG|Nyaung U Airport|Bagan (Pagan)
VYBM|Banmaw Airport|Bhamo
VYCI|Coco Island Airport|Coco Island
VYCZ|Mandalay Chanmyathazi Airport|Mandalay
VYDW|Dawei Airport|Dawei (Tavoy)
VYEL|Naypyidaw Airport (Ela Airport)|Naypyidaw
VYGG|Gangaw Airport|Gangaw
VYGW|Gwa Airport|Gwa
VYHB|Hmawby Airport (military)|Hmawby
VYHH|Heho Airport|Heho
VYHL|Homalin Airport|Homalin (Hommalin)
VYHN|Tilin Airport|Tilin
VYKG|Kengtung Airport|Kengtung (Kengtong)
VYKI|Khamti Airport|Khamti
VYKL|Kalaymyo Airport|Kalaymyo (Kalemyo)
VYKP|Kyaukpyu Airport|Kyaukpyu
VYKT|Kawthaung Airport|Kawthaung (Kawthoung)
VYKU|Kyauktu Airport|Kyauktu
VYLK|Loikaw Airport|Loikaw
VYLS|Lashio Airport|Lashio
VYLY|Lanywa Airport|Lanywa
VYMD|Mandalay International Airport|Mandalay
VYME|Myeik Airport|Myeik (Mergui)
VYMK|Myitkyina Airport|Myitkyina (Pamti)
VYML|Meiktila Airport (military)|Meiktila
VYMM|Mawlamyaing Airport|Mawlamyaing (Mawlamyine)
VYMN|Manaung Airport|Manaung
VYMO|Momeik Airport|Momeik
VYMS|Monghsat Airport|Monghsat (Mong Hsat)
VYMT|Mong-Tong Airport|Mong-Tong (Hong Ton)
VYMW|Magwe Airport|Magwe
VYMY|Monywar Airport|Monywar
VYNP|West Nampong Airport (military)|Myitkyina
VYNS|Namsang Airport|Namsang
VYNT|Naypyidaw Airport|Naypyidaw
VYPA|Hpa-An Airport|Hpa-An (Pa-An)
VYPK|Pauk Airport|Pauk
VYPN|Pathein Airport|Pathein (Bassein)
VYPP|Hpapun Airport|Hpapun
VYPT|Putao Airport|Putao
VYPU|Pakokku Airport|Pakokku
VYPY|Pyay Airport|Pyay (Prome)
VYST|Shante Airport (military)|Shante
VYSW|Sittwe Airport|Sittwe
VYTD|Thandwe Airport|Thandwe
VYTL|Tachilek Airport|Tachilek (Tachileik)
VYYE|Ye Airport|Ye
VYYY|Yangon International Airport|Yangon (Rangoon)
WAAA|Sultan Hasanuddin International Airport|Makassar / Ujung Pandang, South Sulawesi
WAAB|Betoambari Airport|Bau Bau
WAAJ|Tampa Padang Airport|Mamuju, West Sulawesi
WAAM|Andi Jemma Airport|Masamba
WAAS|Soroako Airport|Soroako
WAAU|Wolter Monginsidi Airport|Kendari, South East Sulawesi
WABB|Frans Kaisiepo Airport|Biak, Papua
WABD|Moanamani Airport|Moanamani
WABF|Jembruwo Airport|Noemfoor
WABG|Waghete Airport|Waghete
WABI|Nabire Airport|Nabire
WABL|Ilaga Airport|Ilaga (Papua)
WAYY|Timika Airport|Tembagapura
WABT|Enarotali Airport|Enarotali
WADA|Selaparang Airport|Mataram, West Nusa Tenggara
WADB|Bima Airport (aka Sultan Muhammad Salahuddin Airport)|Bima
WADD|Ngurah Rai International Airport|Denpasar, Bali
WADL|Lombok International Airport|Praya, Lombok
WAGG|Tjilik Riwut Airport|Palangkaraya, Central Kalimantan
WAHH|Adisucipto International Airport|Yogyakarta, Yogyakarta (special region)
WAJA|Arso Airport|Arso
WAJB|Bokondini Airport|Bokondini
WAJJ|Sentani Airport|Jayapura, Papua
WAJL|Lereh Airport|Lereh
WAJM|Mulia Airport|Mulia
WAJO|Oksibil Airport|Oksibil
WAJR|Waris Airport|Waris
WAJS|Senggeh Airport|Senggeh
WAVV|Wamena Airport|Wamena
WAKD|Mindiptana Airport|Mindiptana
WAKE|Bade Airport|Bade
WAKK|Mopah Airport|Merauke
WAKO|Okaba Airport|Okaba
WAKP|Kepi Airport|Kepi
WAKT|Tanah Merah Airport|Tanah Merah
WALF|Nunukan Airport|Nunukan, East Kalimantan
WALL|Sultan Aji Muhammad Sulaiman Airport|Balikpapan, East Kalimantan
WALP|Long Apung Airport|Long Apung, East Kalimantan
WAON|Warukin Airport|Tanjung, South Kalimantan
WAOO|Syamsudin Noor Airport|Banjarmasin, South Kalimantan
WAQQ|Juwata International Airport|Tarakan, East Kalimantan
WALS|Samarinda Airport|Temindung
WALV|Bunyu Airport|Bunyu, East Kalimantan
WAMA|Gamarmalamo Airport|Galela
WAMH|Naha Airport (Indonesia)|Naha
WAMI|Lalos Airport|Toli Toli
WAFF|Mutiara Airport|Palu, Central Sulawesi
WAMM|Sam Ratulangi International Airport|Manado, North Sulawesi
WAMN|Melangguane Airport|Melangguane
WAMP|Kasiguncu Airport|Poso, Central Sulawesi
WAMR|Pitu Airport|Morotai, Maluku Islands
WAEE|Babullah Airport|Ternate, Maluku Islands
WAMW|Syukuran Aminuddin Amir Airport|Luwuk, Central Sulawesi
WAOK|Gusti Syamsir Alam Airport|Kotabaru Hilir, South Kalimantan
WAPA|Amahai Airport|Amahai, West Papua
WAPD|Dobo Airport|Dobo
WAPE|Mangole Airport|Mangole Island
WAPG|Namrole Airport|Buru, Maluku Islands
WAPI|Saumlaki Airport|Saumlaki
WAPL|Dumatubin Airport|Langgur
WAPN|Sanana Airport|Sanana
WAPP|Pattimura Airport|Ambon, Maluku
WAPR|Namlea Airport|Namlea, Buru, Maluku Islands
WAPT|Taliabu Airport|Taliabu
WARI|Iswahyudi Airfield|Madiun
WARQ|Adisumarmo International Airport (Adi Sumarmo Wiryokusumo)|Surakarta (Solo), Central Java
